X,CH1,
Second,Volt,
1.7760000e-04,3.00000e-01,
1.7780000e-04,3.00000e-01,
1.7800000e-04,3.00000e-01,
1.7819999e-04,3.00000e-01,
1.7839999e-04,3.00000e-01,
1.7859999e-04,3.00000e-01,
1.7879999e-04,3.20000e-01,
1.7900000e-04,3.00000e-01,
1.7920000e-04,2.40000e-01,
1.7940000e-04,3.40000e-01,
1.7960000e-04,3.20000e-01,
1.7980000e-04,3.00000e-01,
1.7999999e-04,3.00000e-01,
1.8019999e-04,3.40000e-01,
1.8039999e-04,3.20000e-01,
1.8059999e-04,2.80000e-01,
1.8079999e-04,2.60000e-01,
1.8100000e-04,3.40000e-01,
1.8120000e-04,3.00000e-01,
1.8140000e-04,3.40000e-01,
1.8160000e-04,3.60000e-01,
1.8180000e-04,2.80000e-01,
1.8199999e-04,3.00000e-01,
1.8219999e-04,3.20000e-01,
1.8239999e-04,3.40000e-01,
1.8259999e-04,3.00000e-01,
1.8279999e-04,3.20000e-01,
1.8300000e-04,2.80000e-01,
1.8320000e-04,3.20000e-01,
1.8340000e-04,2.80000e-01,
1.8360000e-04,3.20000e-01,
1.8380000e-04,3.00000e-01,
1.8399999e-04,2.40000e-01,
1.8419999e-04,3.40000e-01,
1.8439999e-04,3.20000e-01,
1.8459999e-04,2.60000e-01,
1.8480000e-04,3.00000e-01,
1.8500000e-04,3.20000e-01,
1.8520000e-04,3.20000e-01,
1.8540000e-04,2.80000e-01,
1.8560000e-04,3.00000e-01,
1.8579999e-04,3.20000e-01,
1.8599999e-04,3.20000e-01,
1.8619999e-04,2.60000e-01,
1.8639999e-04,3.20000e-01,
1.8659999e-04,2.80000e-01,
1.8680000e-04,2.80000e-01,
1.8700000e-04,3.20000e-01,
1.8720000e-04,3.60000e-01,
1.8740000e-04,2.60000e-01,
1.8760000e-04,3.00000e-01,
1.8779999e-04,2.80000e-01,
1.8799999e-04,3.00000e-01,
1.8819999e-04,3.20000e-01,
1.8839999e-04,3.20000e-01,
1.8860000e-04,2.80000e-01,
1.8880000e-04,2.60000e-01,
1.8900000e-04,3.20000e-01,
1.8920000e-04,3.20000e-01,
1.8940000e-04,2.80000e-01,
1.8959999e-04,2.80000e-01,
1.8979999e-04,3.20000e-01,
1.8999999e-04,3.00000e-01,
1.9019999e-04,3.00000e-01,
1.9039999e-04,3.80000e-01,
1.9060000e-04,2.80000e-01,
1.9080000e-04,2.60000e-01,
1.9100000e-04,3.20000e-01,
1.9120000e-04,3.20000e-01,
1.9140000e-04,2.60000e-01,
1.9159999e-04,2.80000e-01,
1.9179999e-04,3.20000e-01,
1.9199999e-04,2.60000e-01,
1.9219999e-04,3.20000e-01,
1.9240000e-04,3.20000e-01,
1.9260000e-04,2.80000e-01,
1.9280000e-04,3.40000e-01,
1.9300000e-04,2.60000e-01,
1.9320000e-04,3.00000e-01,
1.9339999e-04,2.80000e-01,
1.9359999e-04,3.00000e-01,
1.9379999e-04,2.60000e-01,
1.9399999e-04,2.80000e-01,
1.9419999e-04,3.20000e-01,
1.9440000e-04,2.60000e-01,
1.9460000e-04,3.20000e-01,
1.9480000e-04,2.60000e-01,
1.9500000e-04,3.00000e-01,
1.9520000e-04,2.60000e-01,
1.9539999e-04,3.20000e-01,
1.9559999e-04,2.60000e-01,
1.9579999e-04,3.80000e-01,
1.9599999e-04,3.00000e-01,
1.9620000e-04,3.20000e-01,
1.9640000e-04,3.00000e-01,
1.9660000e-04,2.80000e-01,
1.9680000e-04,3.00000e-01,
1.9700000e-04,2.20000e-01,
1.9720000e-04,3.00000e-01,
1.9739999e-04,2.60000e-01,
1.9759999e-04,2.60000e-01,
1.9779999e-04,3.20000e-01,
1.9799999e-04,2.80000e-01,
1.9820000e-04,3.00000e-01,
1.9840000e-04,3.00000e-01,
1.9860000e-04,2.60000e-01,
1.9880000e-04,3.00000e-01,
1.9900000e-04,2.60000e-01,
1.9919999e-04,3.00000e-01,
1.9939999e-04,2.60000e-01,
1.9959999e-04,3.20000e-01,
1.9979999e-04,2.60000e-01,
1.9999999e-04,3.00000e-01,
2.0020000e-04,2.60000e-01,
2.0040000e-04,2.60000e-01,
2.0060000e-04,3.20000e-01,
2.0080000e-04,2.60000e-01,
2.0100000e-04,3.80000e-01,
2.0119999e-04,3.00000e-01,
2.0139999e-04,2.60000e-01,
2.0159999e-04,3.00000e-01,
2.0179999e-04,2.20000e-01,
2.0200000e-04,3.00000e-01,
2.0220000e-04,2.40000e-01,
2.0240000e-04,2.60000e-01,
2.0260000e-04,3.00000e-01,
2.0280000e-04,3.20000e-01,
2.0299999e-04,2.60000e-01,
2.0319999e-04,2.60000e-01,
2.0339999e-04,3.20000e-01,
2.0359999e-04,2.60000e-01,
2.0379999e-04,3.00000e-01,
2.0400000e-04,2.60000e-01,
2.0420000e-04,3.00000e-01,
2.0440000e-04,2.60000e-01,
2.0460000e-04,3.00000e-01,
2.0480000e-04,2.60000e-01,
2.0499999e-04,3.40000e-01,
2.0519999e-04,2.60000e-01,
2.0539999e-04,3.00000e-01,
2.0559999e-04,2.60000e-01,
2.0580000e-04,3.00000e-01,
2.0600000e-04,2.60000e-01,
2.0620000e-04,3.00000e-01,
2.0640000e-04,3.00000e-01,
2.0660000e-04,2.60000e-01,
2.0679999e-04,3.00000e-01,
2.0699999e-04,2.60000e-01,
2.0719999e-04,3.00000e-01,
2.0739999e-04,2.60000e-01,
2.0759999e-04,2.60000e-01,
2.0780000e-04,3.00000e-01,
2.0800000e-04,2.60000e-01,
2.0820000e-04,3.00000e-01,
2.0840000e-04,2.60000e-01,
2.0860000e-04,3.20000e-01,
2.0879999e-04,3.00000e-01,
2.0899999e-04,2.60000e-01,
2.0919999e-04,3.00000e-01,
2.0939999e-04,2.60000e-01,
2.0960000e-04,3.00000e-01,
2.0980000e-04,2.40000e-01,
2.1000000e-04,2.60000e-01,
2.1020000e-04,3.00000e-01,
2.1040000e-04,3.00000e-01,
2.1060000e-04,2.60000e-01,
2.1079999e-04,3.00000e-01,
2.1099999e-04,2.60000e-01,
2.1119999e-04,3.00000e-01,
2.1139999e-04,2.60000e-01,
2.1160000e-04,2.60000e-01,
2.1180000e-04,3.00000e-01,
2.1200000e-04,2.60000e-01,
2.1220000e-04,3.00000e-01,
2.1240000e-04,3.00000e-01,
2.1259999e-04,2.60000e-01,
2.1279999e-04,2.60000e-01,
2.1299999e-04,2.80000e-01,
2.1319999e-04,2.60000e-01,
2.1340000e-04,3.00000e-01,
2.1360000e-04,2.60000e-01,
2.1380000e-04,3.00000e-01,
2.1400000e-04,2.60000e-01,
2.1420000e-04,3.00000e-01,
2.1440000e-04,3.00000e-01,
2.1459999e-04,2.60000e-01,
2.1479999e-04,3.00000e-01,
2.1499999e-04,2.40000e-01,
2.1519999e-04,2.60000e-01,
2.1540000e-04,2.80000e-01,
2.1560000e-04,2.60000e-01,
2.1580000e-04,2.80000e-01,
2.1600000e-04,2.60000e-01,
2.1620000e-04,3.00000e-01,
2.1639999e-04,2.60000e-01,
2.1659999e-04,3.00000e-01,
2.1679999e-04,2.60000e-01,
2.1699999e-04,3.00000e-01,
2.1719999e-04,2.60000e-01,
2.1740000e-04,3.00000e-01,
2.1760000e-04,2.60000e-01,
2.1780000e-04,3.00000e-01,
2.1800000e-04,2.60000e-01,
2.1820000e-04,3.00000e-01,
2.1839999e-04,2.40000e-01,
2.1859999e-04,3.00000e-01,
2.1879999e-04,3.20000e-01,
2.1899999e-04,2.40000e-01,
2.1920000e-04,2.60000e-01,
2.1940000e-04,2.80000e-01,
2.1960000e-04,2.60000e-01,
2.1980000e-04,3.00000e-01,
2.2000000e-04,2.60000e-01,
2.2020000e-04,2.80000e-01,
2.2040000e-04,2.60000e-01,
2.2059999e-04,3.00000e-01,
2.2079999e-04,2.40000e-01,
2.2099999e-04,3.00000e-01,
2.2120000e-04,2.60000e-01,
2.2140000e-04,2.80000e-01,
2.2160000e-04,2.80000e-01,
2.2180000e-04,2.60000e-01,
2.2200000e-04,2.60000e-01,
2.2220000e-04,3.00000e-01,
2.2239999e-04,2.80000e-01,
2.2259999e-04,2.20000e-01,
2.2279999e-04,2.40000e-01,
2.2300000e-04,2.80000e-01,
2.2320000e-04,2.40000e-01,
2.2340000e-04,2.80000e-01,
2.2360000e-04,2.60000e-01,
2.2380000e-04,2.80000e-01,
2.2400000e-04,4.00000e-01,
2.2420000e-04,8.00000e-02,
2.2439999e-04,7.20000e-01,
2.2459999e-04,-3.40000e-01,
2.2479999e-04,9.00000e-01,
2.2500000e-04,-6.00000e-01,
2.2520000e-04,9.40000e-01,
2.2540000e-04,-6.00000e-01,
2.2560000e-04,9.40000e-01,
2.2580000e-04,-5.80000e-01,
2.2600000e-04,9.00000e-01,
2.2619999e-04,-6.00000e-01,
2.2639999e-04,9.20000e-01,
2.2659999e-04,-5.80000e-01,
2.2680000e-04,9.00000e-01,
2.2700000e-04,-6.00000e-01,
2.2720000e-04,9.20000e-01,
2.2740000e-04,-6.40000e-01,
2.2760000e-04,8.80000e-01,
2.2780000e-04,-4.80000e-01,
2.2800000e-04,-4.80000e-01,
2.2819999e-04,9.00000e-01,
2.2839999e-04,-5.80000e-01,
2.2859999e-04,9.60000e-01,
2.2880000e-04,-5.60000e-01,
2.2900000e-04,9.40000e-01,
2.2920000e-04,-5.40000e-01,
2.2940000e-04,9.40000e-01,
2.2960000e-04,-5.60000e-01,
2.2980000e-04,9.20000e-01,
2.2999999e-04,-5.40000e-01,
2.3019999e-04,9.20000e-01,
2.3039999e-04,-5.60000e-01,
2.3060000e-04,9.40000e-01,
2.3080000e-04,-5.60000e-01,
2.3100000e-04,8.80000e-01,
2.3120000e-04,-4.20000e-01,
2.3140000e-04,7.60000e-01,
2.3160000e-04,-5.60000e-01,
2.3180000e-04,9.00000e-01,
2.3199999e-04,-6.20000e-01,
2.3219999e-04,9.60000e-01,
2.3239999e-04,-6.00000e-01,
2.3260000e-04,9.40000e-01,
2.3280000e-04,-5.80000e-01,
2.3300000e-04,9.40000e-01,
2.3320000e-04,-5.80000e-01,
2.3340000e-04,9.60000e-01,
2.3360000e-04,-5.80000e-01,
2.3380000e-04,9.40000e-01,
2.3399999e-04,-6.00000e-01,
2.3419999e-04,9.40000e-01,
2.3439999e-04,-5.80000e-01,
2.3460000e-04,8.60000e-01,
2.3480000e-04,-6.00000e-01,
2.3500000e-04,9.00000e-01,
2.3520000e-04,9.00000e-01,
2.3540000e-04,-6.00000e-01,
2.3560000e-04,9.00000e-01,
2.3579999e-04,-6.20000e-01,
2.3599999e-04,9.00000e-01,
2.3619999e-04,-6.00000e-01,
2.3640000e-04,-6.00000e-01,
2.3660000e-04,9.00000e-01,
2.3680000e-04,-6.00000e-01,
2.3700000e-04,9.00000e-01,
2.3720000e-04,-6.00000e-01,
2.3740000e-04,9.00000e-01,
2.3760000e-04,-5.40000e-01,
2.3779999e-04,9.20000e-01,
2.3799999e-04,8.20000e-01,
2.3819999e-04,-4.80000e-01,
2.3840000e-04,9.40000e-01,
2.3860000e-04,-5.80000e-01,
2.3880000e-04,9.00000e-01,
2.3900000e-04,-5.80000e-01,
2.3920000e-04,-5.60000e-01,
2.3940000e-04,9.20000e-01,
2.3959999e-04,9.00000e-01,
2.3979999e-04,-5.80000e-01,
2.3999999e-04,9.40000e-01,
2.4020000e-04,-6.00000e-01,
2.4040000e-04,9.00000e-01,
2.4060000e-04,-5.80000e-01,
2.4080000e-04,9.00000e-01,
2.4100000e-04,-5.80000e-01,
2.4120000e-04,8.20000e-01,
2.4140000e-04,-4.80000e-01,
2.4159999e-04,-5.80000e-01,
2.4179999e-04,9.60000e-01,
2.4199999e-04,-6.00000e-01,
2.4220000e-04,9.40000e-01,
2.4240000e-04,-5.80000e-01,
2.4260000e-04,9.40000e-01,
2.4280000e-04,-6.00000e-01,
2.4300000e-04,9.40000e-01,
2.4320000e-04,-6.00000e-01,
2.4339999e-04,9.40000e-01,
2.4359999e-04,-5.60000e-01,
2.4379999e-04,9.40000e-01,
2.4400000e-04,-5.60000e-01,
2.4420000e-04,9.20000e-01,
2.4440000e-04,8.60000e-01,
2.4460000e-04,-4.20000e-01,
2.4480000e-04,9.00000e-01,
2.4500000e-04,-5.20000e-01,
2.4520000e-04,-6.00000e-01,
2.4540001e-04,9.00000e-01,
2.4560001e-04,-6.40000e-01,
2.4580001e-04,9.20000e-01,
2.4600001e-04,9.00000e-01,
2.4620001e-04,-6.00000e-01,
2.4639998e-04,-6.00000e-01,
2.4659999e-04,9.00000e-01,
2.4679999e-04,-6.00000e-01,
2.4699999e-04,9.20000e-01,
2.4719999e-04,-6.00000e-01,
2.4739999e-04,9.20000e-01,
2.4759999e-04,-5.80000e-01,
2.4780000e-04,9.00000e-01,
2.4800000e-04,-4.00000e-01,
2.4820000e-04,9.00000e-01,
2.4840000e-04,9.00000e-01,
2.4860000e-04,-6.00000e-01,
2.4880000e-04,8.80000e-01,
2.4900000e-04,-6.00000e-01,
2.4920001e-04,9.00000e-01,
2.4940001e-04,-6.00000e-01,
2.4960001e-04,9.00000e-01,
2.4980001e-04,-6.40000e-01,
2.5000001e-04,9.00000e-01,
2.5020001e-04,-6.40000e-01,
2.5039999e-04,9.00000e-01,
2.5059999e-04,-6.00000e-01,
2.5079999e-04,8.80000e-01,
2.5099999e-04,-6.00000e-01,
2.5119999e-04,9.00000e-01,
2.5139999e-04,-5.40000e-01,
2.5159999e-04,-5.60000e-01,
2.5180000e-04,7.80000e-01,
2.5200000e-04,9.00000e-01,
2.5220000e-04,-5.60000e-01,
2.5240000e-04,-5.60000e-01,
2.5260000e-04,9.00000e-01,
2.5280000e-04,-5.80000e-01,
2.5300001e-04,9.40000e-01,
2.5320001e-04,9.40000e-01,
2.5340001e-04,-5.80000e-01,
2.5360001e-04,9.00000e-01,
2.5380001e-04,-5.60000e-01,
2.5400001e-04,9.00000e-01,
2.5419999e-04,-6.00000e-01,
2.5439999e-04,9.00000e-01,
2.5459999e-04,-6.20000e-01,
2.5479999e-04,9.00000e-01,
2.5499999e-04,-6.00000e-01,
2.5519999e-04,9.00000e-01,
2.5539999e-04,-6.00000e-01,
2.5560000e-04,9.40000e-01,
2.5580000e-04,-6.40000e-01,
2.5600000e-04,9.40000e-01,
2.5620000e-04,-6.40000e-01,
2.5640000e-04,9.20000e-01,
2.5660000e-04,-6.00000e-01,
2.5680001e-04,9.20000e-01,
2.5700001e-04,-6.00000e-01,
2.5720001e-04,9.40000e-01,
2.5740001e-04,-6.00000e-01,
2.5760001e-04,9.20000e-01,
2.5780001e-04,-5.00000e-01,
2.5799999e-04,8.60000e-01,
2.5819999e-04,-5.60000e-01,
2.5839999e-04,-6.00000e-01,
2.5859999e-04,8.80000e-01,
2.5879999e-04,-6.40000e-01,
2.5899999e-04,8.80000e-01,
2.5919999e-04,-6.40000e-01,
2.5940000e-04,9.00000e-01,
2.5960000e-04,-6.20000e-01,
2.5980000e-04,8.80000e-01,
2.6000000e-04,-6.40000e-01,
2.6020000e-04,9.00000e-01,
2.6040000e-04,-6.40000e-01,
2.6060001e-04,8.80000e-01,
2.6080001e-04,-6.00000e-01,
2.6100001e-04,9.00000e-01,
2.6120001e-04,-4.80000e-01,
2.6140001e-04,8.80000e-01,
2.6160001e-04,8.80000e-01,
2.6179999e-04,-5.60000e-01,
2.6199999e-04,9.00000e-01,
2.6219999e-04,-6.00000e-01,
2.6239999e-04,9.00000e-01,
2.6259999e-04,-5.80000e-01,
2.6279999e-04,9.00000e-01,
2.6299999e-04,-5.80000e-01,
2.6320000e-04,8.80000e-01,
2.6340000e-04,-6.20000e-01,
2.6360000e-04,9.00000e-01,
2.6380000e-04,-6.40000e-01,
2.6400000e-04,9.00000e-01,
2.6420000e-04,-6.20000e-01,
2.6440001e-04,-6.00000e-01,
2.6460001e-04,8.80000e-01,
2.6480001e-04,-5.20000e-01,
2.6500001e-04,7.40000e-01,
2.6520001e-04,-5.80000e-01,
2.6540001e-04,9.00000e-01,
2.6559999e-04,-6.00000e-01,
2.6579999e-04,9.00000e-01,
2.6599999e-04,-6.20000e-01,
2.6619999e-04,9.00000e-01,
2.6639999e-04,-6.00000e-01,
2.6659999e-04,9.20000e-01,
2.6679999e-04,-5.60000e-01,
2.6700000e-04,9.00000e-01,
2.6720000e-04,-5.60000e-01,
2.6740000e-04,9.00000e-01,
2.6760000e-04,-5.80000e-01,
2.6780000e-04,9.00000e-01,
2.6800000e-04,8.80000e-01,
2.6820000e-04,-5.60000e-01,
2.6840001e-04,8.20000e-01,
2.6860001e-04,-5.20000e-01,
2.6880001e-04,-6.40000e-01,
2.6900001e-04,9.40000e-01,
2.6920001e-04,-6.20000e-01,
2.6940001e-04,9.00000e-01,
2.6959999e-04,-6.40000e-01,
2.6979999e-04,8.80000e-01,
2.6999999e-04,-6.40000e-01,
2.7019999e-04,9.00000e-01,
2.7039999e-04,-6.40000e-01,
2.7059999e-04,9.00000e-01,
2.7080000e-04,-6.60000e-01,
2.7100000e-04,9.40000e-01,
2.7120000e-04,-6.20000e-01,
2.7140000e-04,8.60000e-01,
2.7160000e-04,7.80000e-01,
2.7180000e-04,-5.00000e-01,
2.7200000e-04,8.80000e-01,
2.7220001e-04,-6.60000e-01,
2.7240001e-04,9.00000e-01,
2.7260001e-04,-6.40000e-01,
2.7280001e-04,8.60000e-01,
2.7300001e-04,-6.40000e-01,
2.7320001e-04,8.60000e-01,
2.7339999e-04,-6.40000e-01,
2.7359999e-04,-6.40000e-01,
2.7379999e-04,8.80000e-01,
2.7399999e-04,-6.40000e-01,
2.7419999e-04,8.80000e-01,
2.7439999e-04,8.40000e-01,
2.7460000e-04,-6.40000e-01,
2.7480000e-04,-4.40000e-01,
