X,CH1,CH2,
Second,Volt,Volt,
-1.3199999e-06,2.00000e-02,4.72000e+00,
-1.3100000e-06,2.00000e-02,4.72000e+00,
-1.3000001e-06,2.00000e-02,4.72000e+00,
-1.2900000e-06,2.00000e-02,4.72000e+00,
-1.2800001e-06,0.00000e+00,4.72000e+00,
-1.2700000e-06,0.00000e+00,4.72000e+00,
-1.2600001e-06,2.00000e-02,4.72000e+00,
-1.2500000e-06,2.00000e-02,4.72000e+00,
-1.2400001e-06,0.00000e+00,4.72000e+00,
-1.2300000e-06,2.00000e-02,4.72000e+00,
-1.2200001e-06,-2.00000e-02,4.72000e+00,
-1.2099999e-06,2.00000e-02,4.64000e+00,
-1.2000000e-06,2.00000e-02,4.72000e+00,
-1.1899999e-06,2.00000e-02,4.72000e+00,
-1.1800000e-06,0.00000e+00,4.72000e+00,
-1.1699999e-06,2.00000e-02,4.72000e+00,
-1.1600000e-06,2.00000e-02,4.64000e+00,
-1.1500001e-06,2.00000e-02,4.72000e+00,
-1.1400000e-06,2.00000e-02,4.72000e+00,
-1.1300001e-06,2.00000e-02,4.72000e+00,
-1.1200000e-06,2.00000e-02,4.72000e+00,
-1.1100001e-06,2.00000e-02,4.72000e+00,
-1.1000000e-06,2.00000e-02,4.72000e+00,
-1.0900001e-06,2.00000e-02,4.64000e+00,
-1.0799999e-06,2.00000e-02,4.72000e+00,
-1.0700001e-06,2.00000e-02,4.72000e+00,
-1.0599999e-06,2.00000e-02,4.72000e+00,
-1.0500000e-06,2.00000e-02,4.72000e+00,
-1.0399999e-06,2.00000e-02,4.72000e+00,
-1.0300000e-06,0.00000e+00,4.64000e+00,
-1.0200001e-06,0.00000e+00,4.64000e+00,
-1.0100000e-06,0.00000e+00,4.72000e+00,
-1.0000001e-06,2.00000e-02,4.72000e+00,
-9.8999999e-07,0.00000e+00,4.72000e+00,
-9.8000010e-07,2.00000e-02,4.72000e+00,
-9.6999997e-07,2.00000e-02,4.72000e+00,
-9.6000008e-07,2.00000e-02,4.72000e+00,
-9.4999990e-07,2.00000e-02,4.72000e+00,
-9.4000001e-07,2.00000e-02,4.72000e+00,
-9.2999989e-07,2.00000e-02,4.72000e+00,
-9.1999999e-07,2.00000e-02,4.72000e+00,
-9.0999987e-07,2.00000e-02,4.64000e+00,
-8.9999997e-07,2.00000e-02,4.64000e+00,
-8.8999985e-07,2.00000e-02,4.72000e+00,
-8.7999996e-07,2.00000e-02,4.72000e+00,
-8.7000006e-07,2.00000e-02,4.72000e+00,
-8.5999994e-07,2.00000e-02,4.72000e+00,
-8.5000005e-07,2.00000e-02,4.72000e+00,
-8.3999993e-07,2.00000e-02,4.72000e+00,
-8.3000003e-07,0.00000e+00,4.72000e+00,
-8.1999991e-07,2.00000e-02,4.72000e+00,
-8.1000002e-07,2.00000e-02,4.72000e+00,
-7.9999990e-07,2.00000e-02,4.72000e+00,
-7.9000000e-07,2.00000e-02,4.72000e+00,
-7.7999988e-07,2.00000e-02,4.72000e+00,
-7.6999999e-07,2.00000e-02,4.72000e+00,
-7.5999986e-07,2.00000e-02,4.72000e+00,
-7.4999997e-07,2.00000e-02,4.72000e+00,
-7.3999985e-07,2.00000e-02,4.72000e+00,
-7.2999995e-07,2.00000e-02,4.72000e+00,
-7.2000006e-07,2.00000e-02,4.72000e+00,
-7.0999994e-07,2.00000e-02,4.72000e+00,
-7.0000004e-07,0.00000e+00,4.80000e+00,
-6.8999992e-07,2.00000e-02,4.72000e+00,
-6.8000003e-07,2.00000e-02,4.72000e+00,
-6.6999991e-07,2.00000e-02,4.72000e+00,
-6.6000001e-07,2.00000e-02,4.72000e+00,
-6.4999989e-07,2.00000e-02,4.72000e+00,
-6.4000000e-07,2.00000e-02,4.72000e+00,
-6.2999987e-07,2.00000e-02,4.72000e+00,
-6.1999998e-07,2.00000e-02,4.72000e+00,
-6.0999986e-07,2.00000e-02,4.72000e+00,
-5.9999996e-07,2.00000e-02,4.72000e+00,
-5.9000007e-07,2.00000e-02,4.72000e+00,
-5.7999995e-07,2.00000e-02,4.72000e+00,
-5.7000005e-07,-2.00000e-02,4.72000e+00,
-5.5999993e-07,2.00000e-02,4.72000e+00,
-5.5000004e-07,2.00000e-02,4.72000e+00,
-5.3999992e-07,0.00000e+00,4.72000e+00,
-5.3000002e-07,0.00000e+00,4.72000e+00,
-5.1999990e-07,2.00000e-02,4.72000e+00,
-5.1000001e-07,2.00000e-02,4.72000e+00,
-4.9999989e-07,2.00000e-02,4.72000e+00,
-4.8999999e-07,2.00000e-02,4.72000e+00,
-4.7999987e-07,2.00000e-02,4.72000e+00,
-4.7000000e-07,2.00000e-02,4.72000e+00,
-4.5999988e-07,2.00000e-02,4.64000e+00,
-4.4999999e-07,2.00000e-02,4.72000e+00,
-4.4000009e-07,2.00000e-02,4.72000e+00,
-4.2999997e-07,2.00000e-02,4.72000e+00,
-4.2000008e-07,2.00000e-02,4.72000e+00,
-4.0999996e-07,2.00000e-02,4.72000e+00,
-4.0000006e-07,2.00000e-02,4.72000e+00,
-3.8999994e-07,0.00000e+00,4.72000e+00,
-3.8000005e-07,2.00000e-02,4.72000e+00,
