X,CH1,CH2,
Second,Volt,Volt,
2.5945599e-04,4.40000e-01,4.72000e+00,
2.5945800e-04,4.80000e-01,4.64000e+00,
2.5946001e-04,5.20000e-01,4.64000e+00,
2.5946199e-04,5.80000e-01,4.80000e+00,
2.5946400e-04,6.20000e-01,4.80000e+00,
2.5946600e-04,6.40000e-01,4.64000e+00,
2.5946801e-04,6.60000e-01,4.64000e+00,
2.5946999e-04,7.00000e-01,4.72000e+00,
2.5947200e-04,7.20000e-01,4.80000e+00,
2.5947401e-04,7.40000e-01,4.80000e+00,
2.5947599e-04,7.60000e-01,4.72000e+00,
2.5947799e-04,7.60000e-01,4.72000e+00,
2.5948000e-04,7.80000e-01,4.72000e+00,
2.5948201e-04,7.60000e-01,4.80000e+00,
2.5948399e-04,7.40000e-01,4.80000e+00,
2.5948600e-04,7.40000e-01,4.72000e+00,
2.5948801e-04,7.20000e-01,4.72000e+00,
2.5949001e-04,7.00000e-01,4.72000e+00,
2.5949199e-04,6.80000e-01,4.80000e+00,
2.5949400e-04,6.40000e-01,4.80000e+00,
2.5949601e-04,6.00000e-01,4.72000e+00,
2.5949799e-04,5.60000e-01,4.72000e+00,
2.5950000e-04,5.00000e-01,4.72000e+00,
2.5950201e-04,4.80000e-01,4.80000e+00,
2.5950401e-04,4.20000e-01,4.72000e+00,
2.5950599e-04,3.60000e-01,4.80000e+00,
2.5950800e-04,3.20000e-01,4.72000e+00,
2.5951001e-04,2.40000e-01,4.72000e+00,
2.5951199e-04,2.00000e-01,4.88000e+00,
2.5951400e-04,1.60000e-01,4.80000e+00,
2.5951600e-04,8.00000e-02,4.80000e+00,
2.5951801e-04,0.00000e+00,4.72000e+00,
2.5951999e-04,-6.00000e-02,4.80000e+00,
2.5952200e-04,-1.00000e-01,4.88000e+00,
2.5952401e-04,-2.00000e-01,4.88000e+00,
2.5952599e-04,-2.40000e-01,4.72000e+00,
2.5952799e-04,-3.00000e-01,4.64000e+00,
2.5953000e-04,-3.20000e-01,4.72000e+00,
2.5953201e-04,-3.80000e-01,4.80000e+00,
2.5953399e-04,-4.40000e-01,4.80000e+00,
2.5953600e-04,-4.80000e-01,4.72000e+00,
2.5953801e-04,-5.40000e-01,4.64000e+00,
2.5953999e-04,-5.60000e-01,4.72000e+00,
2.5954199e-04,-5.80000e-01,4.80000e+00,
2.5954400e-04,-6.40000e-01,4.80000e+00,
2.5954601e-04,-6.80000e-01,4.72000e+00,
2.5954799e-04,-7.00000e-01,4.72000e+00,
2.5955000e-04,-6.80000e-01,4.72000e+00,
2.5955201e-04,-6.80000e-01,4.72000e+00,
2.5955401e-04,-7.40000e-01,4.80000e+00,
2.5955599e-04,-7.40000e-01,4.64000e+00,
2.5955800e-04,-7.40000e-01,4.64000e+00,
2.5956001e-04,-7.20000e-01,4.64000e+00,
2.5956199e-04,-6.80000e-01,4.72000e+00,
2.5956400e-04,-7.00000e-01,4.72000e+00,
2.5956600e-04,-6.80000e-01,4.72000e+00,
2.5956801e-04,-6.60000e-01,4.64000e+00,
2.5956999e-04,-5.80000e-01,4.72000e+00,
2.5957200e-04,-5.60000e-01,4.80000e+00,
2.5957401e-04,-5.40000e-01,4.80000e+00,
2.5957599e-04,-5.20000e-01,4.64000e+00,
2.5957800e-04,-4.60000e-01,4.72000e+00,
2.5958000e-04,-4.00000e-01,4.64000e+00,
2.5958201e-04,-3.60000e-01,4.80000e+00,
2.5958399e-04,-3.20000e-01,4.72000e+00,
2.5958600e-04,-2.60000e-01,4.64000e+00,
2.5958801e-04,-2.20000e-01,4.56000e+00,
2.5958999e-04,-1.40000e-01,4.72000e+00,
2.5959199e-04,-6.00000e-02,4.72000e+00,
2.5959400e-04,2.00000e-02,4.72000e+00,
2.5959601e-04,6.00000e-02,4.72000e+00,
2.5959799e-04,1.00000e-01,4.64000e+00,
2.5960000e-04,1.60000e-01,4.64000e+00,
2.5960201e-04,2.00000e-01,4.72000e+00,
2.5960401e-04,3.00000e-01,4.80000e+00,
2.5960599e-04,3.40000e-01,4.64000e+00,
2.5960800e-04,4.20000e-01,4.64000e+00,
2.5961001e-04,4.40000e-01,4.64000e+00,
2.5961199e-04,5.00000e-01,4.80000e+00,
2.5961400e-04,5.40000e-01,4.80000e+00,
2.5961600e-04,5.80000e-01,4.72000e+00,
2.5961801e-04,6.20000e-01,4.64000e+00,
2.5961999e-04,6.60000e-01,4.64000e+00,
2.5962200e-04,6.60000e-01,4.72000e+00,
2.5962401e-04,6.80000e-01,4.72000e+00,
2.5962599e-04,7.00000e-01,4.72000e+00,
2.5962800e-04,7.60000e-01,4.72000e+00,
2.5963000e-04,7.80000e-01,4.72000e+00,
2.5963201e-04,7.40000e-01,4.80000e+00,
2.5963399e-04,7.20000e-01,4.80000e+00,
2.5963600e-04,7.40000e-01,4.72000e+00,
2.5963801e-04,7.60000e-01,4.64000e+00,
2.5963999e-04,7.60000e-01,4.72000e+00,
2.5964199e-04,7.20000e-01,4.80000e+00,
2.5964400e-04,6.60000e-01,4.80000e+00,
2.5964601e-04,6.40000e-01,4.72000e+00,
2.5964799e-04,6.40000e-01,4.72000e+00,
2.5965000e-04,6.00000e-01,4.72000e+00,
2.5965201e-04,5.60000e-01,4.72000e+00,
2.5965401e-04,4.80000e-01,4.80000e+00,
2.5965599e-04,4.40000e-01,4.72000e+00,
2.5965800e-04,4.40000e-01,4.72000e+00,
2.5966001e-04,3.60000e-01,4.72000e+00,
2.5966199e-04,3.00000e-01,4.80000e+00,
2.5966400e-04,2.40000e-01,4.80000e+00,
2.5966601e-04,1.80000e-01,4.72000e+00,
2.5966801e-04,1.20000e-01,4.72000e+00,
2.5966999e-04,8.00000e-02,4.72000e+00,
2.5967200e-04,2.00000e-02,4.88000e+00,
2.5967401e-04,-4.00000e-02,4.80000e+00,
2.5967599e-04,-1.20000e-01,4.72000e+00,
2.5967800e-04,-1.80000e-01,4.72000e+00,
2.5968000e-04,-2.40000e-01,4.80000e+00,
2.5968201e-04,-3.00000e-01,4.80000e+00,
2.5968399e-04,-3.60000e-01,4.80000e+00,
2.5968600e-04,-3.80000e-01,4.72000e+00,
2.5968801e-04,-4.40000e-01,4.56000e+00,
2.5968999e-04,-5.00000e-01,4.72000e+00,
2.5969199e-04,-5.20000e-01,4.80000e+00,
2.5969400e-04,-5.80000e-01,4.80000e+00,
2.5969601e-04,-6.00000e-01,4.72000e+00,
2.5969799e-04,-6.40000e-01,4.64000e+00,
2.5970000e-04,-6.60000e-01,4.64000e+00,
2.5970201e-04,-7.00000e-01,4.80000e+00,
2.5970399e-04,-7.00000e-01,4.80000e+00,
2.5970599e-04,-7.00000e-01,4.72000e+00,
2.5970800e-04,-7.20000e-01,4.64000e+00,
2.5971001e-04,-7.20000e-01,4.64000e+00,
2.5971199e-04,-7.40000e-01,4.72000e+00,
2.5971400e-04,-7.40000e-01,4.80000e+00,
2.5971601e-04,-7.00000e-01,4.72000e+00,
2.5971801e-04,-7.00000e-01,4.72000e+00,
2.5971999e-04,-6.80000e-01,4.64000e+00,
2.5972200e-04,-6.60000e-01,4.72000e+00,
2.5972401e-04,-6.40000e-01,4.72000e+00,
2.5972599e-04,-5.80000e-01,4.72000e+00,
2.5972800e-04,-5.40000e-01,4.64000e+00,
2.5973000e-04,-4.80000e-01,4.64000e+00,
2.5973201e-04,-4.80000e-01,4.72000e+00,
2.5973399e-04,-4.20000e-01,4.80000e+00,
2.5973600e-04,-3.60000e-01,4.64000e+00,
2.5973801e-04,-3.00000e-01,4.64000e+00,
2.5973999e-04,-2.40000e-01,4.64000e+00,
2.5974200e-04,-1.80000e-01,4.72000e+00,
2.5974400e-04,-1.20000e-01,4.72000e+00,
2.5974601e-04,-8.00000e-02,4.72000e+00,
2.5974799e-04,-2.00000e-02,4.64000e+00,
2.5975000e-04,6.00000e-02,4.72000e+00,
2.5975201e-04,1.20000e-01,4.72000e+00,
2.5975399e-04,1.80000e-01,4.72000e+00,
2.5975599e-04,2.00000e-01,4.64000e+00,
2.5975800e-04,2.80000e-01,4.56000e+00,
2.5976001e-04,3.60000e-01,4.72000e+00,
2.5976199e-04,4.00000e-01,4.80000e+00,
2.5976400e-04,4.60000e-01,4.80000e+00,
2.5976601e-04,4.80000e-01,4.72000e+00,
2.5976801e-04,5.20000e-01,4.64000e+00,
2.5976999e-04,5.60000e-01,4.72000e+00,
2.5977200e-04,6.40000e-01,4.80000e+00,
2.5977401e-04,6.60000e-01,4.80000e+00,
2.5977599e-04,6.40000e-01,4.72000e+00,
2.5977800e-04,6.80000e-01,4.72000e+00,
2.5978000e-04,7.20000e-01,4.72000e+00,
2.5978201e-04,7.60000e-01,4.80000e+00,
2.5978399e-04,7.80000e-01,4.80000e+00,
2.5978600e-04,7.40000e-01,4.72000e+00,
2.5978801e-04,7.40000e-01,4.72000e+00,
2.5978999e-04,7.60000e-01,4.72000e+00,
2.5979200e-04,7.60000e-01,4.80000e+00,
2.5979400e-04,7.40000e-01,4.80000e+00,
2.5979601e-04,7.00000e-01,4.72000e+00,
2.5979799e-04,6.80000e-01,4.72000e+00,
2.5980000e-04,6.60000e-01,4.72000e+00,
2.5980201e-04,6.60000e-01,4.88000e+00,
2.5980399e-04,6.20000e-01,4.80000e+00,
2.5980599e-04,5.40000e-01,4.72000e+00,
2.5980800e-04,5.20000e-01,4.72000e+00,
2.5981001e-04,4.60000e-01,4.72000e+00,
2.5981199e-04,4.00000e-01,4.72000e+00,
2.5981400e-04,3.60000e-01,4.80000e+00,
2.5981601e-04,2.80000e-01,4.72000e+00,
2.5981801e-04,2.60000e-01,4.72000e+00,
2.5981999e-04,2.00000e-01,4.72000e+00,
2.5982200e-04,1.20000e-01,4.88000e+00,
2.5982401e-04,6.00000e-02,4.80000e+00,
2.5982599e-04,-2.00000e-02,4.72000e+00,
2.5982800e-04,-6.00000e-02,4.72000e+00,
2.5983001e-04,-1.20000e-01,4.80000e+00,
2.5983201e-04,-1.80000e-01,4.80000e+00,
2.5983399e-04,-2.80000e-01,4.80000e+00,
2.5983600e-04,-3.20000e-01,4.72000e+00,
2.5983801e-04,-3.60000e-01,4.72000e+00,
2.5983999e-04,-3.80000e-01,4.72000e+00,
2.5984200e-04,-4.40000e-01,4.80000e+00,
2.5984400e-04,-5.00000e-01,4.80000e+00,
2.5984601e-04,-5.40000e-01,4.72000e+00,
2.5984799e-04,-5.80000e-01,4.72000e+00,
2.5985000e-04,-5.80000e-01,4.64000e+00,
2.5985201e-04,-6.20000e-01,4.80000e+00,
2.5985399e-04,-6.80000e-01,4.80000e+00,
2.5985599e-04,-7.00000e-01,4.72000e+00,
2.5985800e-04,-7.00000e-01,4.72000e+00,
2.5986001e-04,-6.80000e-01,4.64000e+00,
2.5986199e-04,-7.00000e-01,4.72000e+00,
2.5986400e-04,-7.40000e-01,4.80000e+00,
2.5986601e-04,-7.40000e-01,4.72000e+00,
2.5986799e-04,-7.20000e-01,4.64000e+00,
2.5986999e-04,-7.00000e-01,4.64000e+00,
2.5987200e-04,-6.80000e-01,4.80000e+00,
2.5987401e-04,-6.80000e-01,4.72000e+00,
2.5987599e-04,-6.40000e-01,4.48000e+00,
2.5987800e-04,-6.20000e-01,4.24000e+00,
2.5988001e-04,-5.60000e-01,3.84000e+00,
2.5988201e-04,-5.00000e-01,3.44000e+00,
2.5988399e-04,-4.60000e-01,2.96000e+00,
2.5988600e-04,-3.80000e-01,2.48000e+00,
2.5988801e-04,-2.80000e-01,2.00000e+00,
2.5988999e-04,-1.60000e-01,1.68000e+00,
2.5989200e-04,-2.00000e-02,1.44000e+00,
2.5989400e-04,1.00000e-01,1.12000e+00,
2.5989601e-04,1.60000e-01,8.00000e-01,
2.5989799e-04,2.40000e-01,4.00000e-01,
2.5990000e-04,2.40000e-01,3.20000e-01,
2.5990201e-04,2.60000e-01,1.60000e-01,
2.5990399e-04,3.00000e-01,8.00000e-02,
2.5990600e-04,2.80000e-01,-8.00000e-02,
2.5990800e-04,3.00000e-01,-2.40000e-01,
2.5991001e-04,2.80000e-01,-3.20000e-01,
2.5991199e-04,3.00000e-01,-3.20000e-01,
2.5991400e-04,3.40000e-01,-3.20000e-01,
2.5991601e-04,3.40000e-01,-4.00000e-01,
2.5991799e-04,3.60000e-01,-4.00000e-01,
2.5991999e-04,3.60000e-01,-3.20000e-01,
2.5992200e-04,3.60000e-01,-2.40000e-01,
2.5992401e-04,4.20000e-01,-2.40000e-01,
2.5992599e-04,4.40000e-01,-2.40000e-01,
2.5992800e-04,5.00000e-01,-2.40000e-01,
2.5993001e-04,5.20000e-01,-1.60000e-01,
2.5993201e-04,5.80000e-01,-1.60000e-01,
2.5993399e-04,6.20000e-01,-8.00000e-02,
2.5993600e-04,6.60000e-01,-8.00000e-02,
2.5993801e-04,7.00000e-01,-2.40000e-01,
2.5993999e-04,7.20000e-01,-1.60000e-01,
2.5994200e-04,7.20000e-01,-1.60000e-01,
2.5994400e-04,7.20000e-01,-8.00000e-02,
2.5994601e-04,7.20000e-01,-8.00000e-02,
2.5994799e-04,7.40000e-01,-8.00000e-02,
2.5995000e-04,7.20000e-01,-8.00000e-02,
2.5995201e-04,7.20000e-01,-8.00000e-02,
2.5995399e-04,7.00000e-01,0.00000e+00,
2.5995600e-04,7.40000e-01,-8.00000e-02,
2.5995800e-04,8.00000e-01,-8.00000e-02,
2.5996001e-04,8.20000e-01,-8.00000e-02,
2.5996199e-04,8.20000e-01,0.00000e+00,
2.5996400e-04,7.60000e-01,-8.00000e-02,
2.5996601e-04,6.80000e-01,-1.60000e-01,
2.5996799e-04,6.00000e-01,-2.40000e-01,
2.5996999e-04,4.60000e-01,-1.60000e-01,
2.5997200e-04,3.20000e-01,-8.00000e-02,
2.5997401e-04,2.20000e-01,0.00000e+00,
2.5997599e-04,1.20000e-01,0.00000e+00,
2.5997800e-04,0.00000e+00,-8.00000e-02,
2.5998001e-04,-6.00000e-02,0.00000e+00,
2.5998201e-04,-1.40000e-01,0.00000e+00,
2.5998399e-04,-2.20000e-01,8.00000e-02,
2.5998600e-04,-2.60000e-01,0.00000e+00,
2.5998801e-04,-3.00000e-01,0.00000e+00,
2.5998999e-04,-3.20000e-01,0.00000e+00,
2.5999200e-04,-3.80000e-01,0.00000e+00,
2.5999401e-04,-4.40000e-01,-8.00000e-02,
2.5999601e-04,-5.00000e-01,-1.60000e-01,
2.5999799e-04,-5.40000e-01,-1.60000e-01,
2.6000000e-04,-5.60000e-01,-8.00000e-02,
2.6000201e-04,-6.00000e-01,-8.00000e-02,
2.6000399e-04,-6.40000e-01,-8.00000e-02,
2.6000600e-04,-6.60000e-01,-8.00000e-02,
2.6000800e-04,-6.80000e-01,-1.60000e-01,
2.6001001e-04,-6.60000e-01,-8.00000e-02,
2.6001199e-04,-6.80000e-01,0.00000e+00,
2.6001400e-04,-7.20000e-01,-8.00000e-02,
2.6001601e-04,-7.60000e-01,-8.00000e-02,
2.6001799e-04,-7.60000e-01,-1.60000e-01,
2.6002000e-04,-7.20000e-01,-1.60000e-01,
2.6002200e-04,-7.20000e-01,-8.00000e-02,
2.6002401e-04,-7.20000e-01,-8.00000e-02,
2.6002599e-04,-7.20000e-01,-1.60000e-01,
2.6002800e-04,-7.00000e-01,-2.40000e-01,
2.6003001e-04,-6.40000e-01,-1.60000e-01,
2.6003199e-04,-6.00000e-01,-8.00000e-02,
2.6003399e-04,-5.80000e-01,0.00000e+00,
2.6003600e-04,-5.40000e-01,-8.00000e-02,
2.6003801e-04,-5.00000e-01,-1.60000e-01,
2.6003999e-04,-4.40000e-01,-8.00000e-02,
2.6004200e-04,-4.00000e-01,0.00000e+00,
2.6004401e-04,-3.60000e-01,-8.00000e-02,
2.6004601e-04,-3.00000e-01,-8.00000e-02,
2.6004799e-04,-2.40000e-01,-2.40000e-01,
2.6005000e-04,-2.00000e-01,-1.60000e-01,
2.6005201e-04,-1.40000e-01,-1.60000e-01,
2.6005399e-04,-6.00000e-02,-8.00000e-02,
2.6005600e-04,-2.00000e-02,-8.00000e-02,
2.6005800e-04,6.00000e-02,-1.60000e-01,
2.6006001e-04,1.20000e-01,-1.60000e-01,
2.6006199e-04,1.60000e-01,-8.00000e-02,
2.6006400e-04,2.40000e-01,-8.00000e-02,
2.6006601e-04,2.80000e-01,-8.00000e-02,
2.6006799e-04,3.80000e-01,-1.60000e-01,
2.6007000e-04,4.00000e-01,-8.00000e-02,
2.6007200e-04,4.60000e-01,-8.00000e-02,
2.6007401e-04,4.80000e-01,-8.00000e-02,
2.6007599e-04,5.20000e-01,-8.00000e-02,
2.6007800e-04,5.80000e-01,-1.60000e-01,
2.6008001e-04,6.40000e-01,-8.00000e-02,
2.6008199e-04,6.60000e-01,0.00000e+00,
2.6008399e-04,6.60000e-01,-8.00000e-02,
2.6008600e-04,6.80000e-01,-8.00000e-02,
2.6008801e-04,7.20000e-01,-1.60000e-01,
2.6008999e-04,7.80000e-01,-8.00000e-02,
2.6009200e-04,7.80000e-01,-8.00000e-02,
2.6009401e-04,7.40000e-01,-8.00000e-02,
2.6009601e-04,7.20000e-01,-8.00000e-02,
2.6009799e-04,7.60000e-01,-1.60000e-01,
2.6010000e-04,7.80000e-01,0.00000e+00,
2.6010201e-04,7.60000e-01,0.00000e+00,
2.6010399e-04,7.20000e-01,0.00000e+00,
2.6010600e-04,6.80000e-01,-8.00000e-02,
2.6010801e-04,6.60000e-01,-1.60000e-01,
2.6011001e-04,6.60000e-01,-8.00000e-02,
2.6011199e-04,6.40000e-01,0.00000e+00,
2.6011400e-04,5.60000e-01,0.00000e+00,
2.6011601e-04,5.00000e-01,0.00000e+00,
2.6011799e-04,4.60000e-01,-8.00000e-02,
2.6012000e-04,4.20000e-01,0.00000e+00,
2.6012200e-04,3.60000e-01,0.00000e+00,
2.6012401e-04,3.20000e-01,0.00000e+00,
2.6012599e-04,2.40000e-01,-8.00000e-02,
2.6012800e-04,2.00000e-01,-8.00000e-02,
2.6013001e-04,1.20000e-01,-8.00000e-02,
2.6013199e-04,6.00000e-02,0.00000e+00,
2.6013399e-04,2.00000e-02,8.00000e-02,
2.6013600e-04,-6.00000e-02,0.00000e+00,
2.6013801e-04,-1.40000e-01,-1.60000e-01,
2.6013999e-04,-1.80000e-01,-8.00000e-02,
2.6014200e-04,-2.40000e-01,0.00000e+00,
2.6014401e-04,-3.00000e-01,0.00000e+00,
2.6014599e-04,-3.40000e-01,-8.00000e-02,
2.6014799e-04,-4.00000e-01,-1.60000e-01,
2.6015000e-04,-4.60000e-01,-8.00000e-02,
