X,CH1,CH2,
Second,Volt,Volt,
2.0746401e-04,-2.20000e-01,0.00000e+00,
2.0746600e-04,-1.60000e-01,8.00000e-02,
2.0746799e-04,-1.20000e-01,8.00000e-02,
2.0747000e-04,-2.00000e-02,8.00000e-02,
2.0747200e-04,2.00000e-02,8.00000e-02,
2.0747400e-04,8.00000e-02,0.00000e+00,
2.0747600e-04,1.20000e-01,8.00000e-02,
2.0747801e-04,1.80000e-01,8.00000e-02,
2.0748000e-04,2.80000e-01,8.00000e-02,
2.0748199e-04,3.20000e-01,8.00000e-02,
2.0748400e-04,3.80000e-01,-8.00000e-02,
2.0748599e-04,4.00000e-01,8.00000e-02,
2.0748800e-04,4.60000e-01,8.00000e-02,
2.0749000e-04,5.20000e-01,8.00000e-02,
2.0749200e-04,5.40000e-01,8.00000e-02,
2.0749400e-04,5.80000e-01,0.00000e+00,
2.0749601e-04,6.00000e-01,8.00000e-02,
2.0749800e-04,6.40000e-01,8.00000e-02,
2.0749999e-04,6.80000e-01,8.00000e-02,
2.0750200e-04,6.80000e-01,8.00000e-02,
2.0750400e-04,7.40000e-01,0.00000e+00,
2.0750600e-04,7.40000e-01,8.00000e-02,
2.0750800e-04,7.20000e-01,8.00000e-02,
2.0751001e-04,7.20000e-01,8.00000e-02,
2.0751200e-04,7.40000e-01,8.00000e-02,
2.0751399e-04,7.60000e-01,0.00000e+00,
2.0751600e-04,7.40000e-01,8.00000e-02,
2.0751799e-04,7.20000e-01,8.00000e-02,
2.0752000e-04,6.80000e-01,8.00000e-02,
2.0752200e-04,6.60000e-01,0.00000e+00,
2.0752400e-04,6.60000e-01,0.00000e+00,
2.0752600e-04,6.00000e-01,8.00000e-02,
2.0752801e-04,5.80000e-01,8.00000e-02,
2.0753000e-04,5.00000e-01,8.00000e-02,
2.0753199e-04,4.60000e-01,8.00000e-02,
2.0753400e-04,4.40000e-01,0.00000e+00,
2.0753600e-04,4.00000e-01,1.60000e-01,
2.0753800e-04,3.20000e-01,8.00000e-02,
2.0754000e-04,2.80000e-01,8.00000e-02,
2.0754201e-04,2.00000e-01,8.00000e-02,
2.0754400e-04,1.80000e-01,0.00000e+00,
2.0754601e-04,8.00000e-02,8.00000e-02,
2.0754800e-04,2.00000e-02,8.00000e-02,
2.0754999e-04,-2.00000e-02,8.00000e-02,
2.0755200e-04,-1.00000e-01,0.00000e+00,
2.0755400e-04,-1.60000e-01,0.00000e+00,
2.0755600e-04,-2.00000e-01,8.00000e-02,
2.0755800e-04,-2.60000e-01,8.00000e-02,
2.0756001e-04,-3.20000e-01,8.00000e-02,
2.0756200e-04,-3.80000e-01,8.00000e-02,
2.0756399e-04,-4.20000e-01,0.00000e+00,
2.0756600e-04,-4.80000e-01,0.00000e+00,
2.0756799e-04,-4.80000e-01,8.00000e-02,
2.0757000e-04,-5.60000e-01,8.00000e-02,
2.0757200e-04,-5.80000e-01,8.00000e-02,
2.0757400e-04,-6.20000e-01,0.00000e+00,
2.0757600e-04,-6.40000e-01,0.00000e+00,
2.0757801e-04,-6.40000e-01,8.00000e-02,
2.0758000e-04,-6.80000e-01,8.00000e-02,
