X,CH1,CH2,
Second,Volt,Volt,
1.5550401e-04,6.60000e-01,4.72000e+00,
1.5550600e-04,6.80000e-01,4.72000e+00,
1.5550799e-04,6.80000e-01,4.72000e+00,
1.5551000e-04,6.80000e-01,4.80000e+00,
1.5551200e-04,6.60000e-01,4.72000e+00,
1.5551400e-04,6.40000e-01,4.72000e+00,
1.5551600e-04,6.40000e-01,4.72000e+00,
1.5551801e-04,6.20000e-01,4.80000e+00,
1.5552000e-04,6.00000e-01,4.80000e+00,
1.5552199e-04,5.80000e-01,4.72000e+00,
1.5552400e-04,5.40000e-01,4.72000e+00,
1.5552600e-04,4.80000e-01,4.72000e+00,
1.5552800e-04,4.80000e-01,4.80000e+00,
1.5553000e-04,4.20000e-01,4.80000e+00,
1.5553201e-04,3.80000e-01,4.72000e+00,
1.5553400e-04,3.40000e-01,4.64000e+00,
1.5553601e-04,2.60000e-01,4.72000e+00,
1.5553800e-04,2.20000e-01,4.80000e+00,
1.5553999e-04,2.00000e-01,4.72000e+00,
1.5554200e-04,1.20000e-01,4.72000e+00,
1.5554400e-04,4.00000e-02,4.64000e+00,
1.5554600e-04,2.00000e-02,4.72000e+00,
1.5554800e-04,-4.00000e-02,4.80000e+00,
1.5555001e-04,-8.00000e-02,4.80000e+00,
1.5555200e-04,-1.60000e-01,4.72000e+00,
1.5555399e-04,-2.20000e-01,4.64000e+00,
1.5555600e-04,-2.60000e-01,4.64000e+00,
1.5555799e-04,-3.00000e-01,4.80000e+00,
1.5556000e-04,-3.60000e-01,4.80000e+00,
1.5556200e-04,-4.00000e-01,4.72000e+00,
1.5556400e-04,-4.60000e-01,4.64000e+00,
1.5556600e-04,-4.80000e-01,4.72000e+00,
1.5556801e-04,-5.00000e-01,4.80000e+00,
1.5557000e-04,-5.60000e-01,4.80000e+00,
1.5557199e-04,-5.80000e-01,4.72000e+00,
1.5557400e-04,-6.00000e-01,4.64000e+00,
1.5557600e-04,-5.80000e-01,4.64000e+00,
1.5557800e-04,-6.00000e-01,4.80000e+00,
1.5558000e-04,-6.40000e-01,4.80000e+00,
1.5558201e-04,-6.60000e-01,4.64000e+00,
1.5558400e-04,-6.80000e-01,4.72000e+00,
1.5558601e-04,-6.60000e-01,4.64000e+00,
1.5558800e-04,-6.60000e-01,4.72000e+00,
1.5558999e-04,-6.60000e-01,4.72000e+00,
1.5559200e-04,-6.40000e-01,4.72000e+00,
1.5559400e-04,-6.00000e-01,4.64000e+00,
1.5559600e-04,-5.60000e-01,4.64000e+00,
1.5559800e-04,-5.40000e-01,4.72000e+00,
1.5560001e-04,-5.40000e-01,4.72000e+00,
1.5560200e-04,-5.00000e-01,4.64000e+00,
1.5560399e-04,-4.60000e-01,4.64000e+00,
1.5560600e-04,-4.00000e-01,4.64000e+00,
1.5560800e-04,-3.80000e-01,4.72000e+00,
1.5561000e-04,-3.40000e-01,4.72000e+00,
1.5561200e-04,-2.80000e-01,4.64000e+00,
1.5561401e-04,-2.40000e-01,4.72000e+00,
1.5561600e-04,-1.60000e-01,4.64000e+00,
1.5561801e-04,-1.20000e-01,4.72000e+00,
1.5562000e-04,-6.00000e-02,4.80000e+00,
1.5562199e-04,-2.00000e-02,4.64000e+00,
1.5562400e-04,4.00000e-02,4.64000e+00,
1.5562600e-04,1.00000e-01,4.72000e+00,
1.5562800e-04,1.60000e-01,4.72000e+00,
1.5563000e-04,2.00000e-01,4.80000e+00,
1.5563201e-04,2.40000e-01,4.72000e+00,
1.5563400e-04,3.20000e-01,4.64000e+00,
1.5563599e-04,3.80000e-01,4.64000e+00,
1.5563800e-04,4.20000e-01,4.72000e+00,
1.5563999e-04,4.40000e-01,4.72000e+00,
1.5564200e-04,4.60000e-01,4.72000e+00,
1.5564400e-04,5.20000e-01,4.72000e+00,
1.5564600e-04,5.40000e-01,4.72000e+00,
1.5564800e-04,6.00000e-01,4.80000e+00,
1.5565001e-04,6.00000e-01,4.80000e+00,
1.5565200e-04,6.20000e-01,4.72000e+00,
1.5565399e-04,6.60000e-01,4.72000e+00,
1.5565600e-04,6.80000e-01,4.72000e+00,
1.5565800e-04,6.80000e-01,4.80000e+00,
1.5566000e-04,6.60000e-01,4.80000e+00,
1.5566200e-04,6.60000e-01,4.72000e+00,
1.5566401e-04,6.80000e-01,4.56000e+00,
1.5566600e-04,6.80000e-01,4.72000e+00,
1.5566801e-04,6.60000e-01,4.72000e+00,
1.5567000e-04,6.20000e-01,4.80000e+00,
1.5567199e-04,6.00000e-01,4.72000e+00,
1.5567400e-04,6.20000e-01,4.72000e+00,
1.5567600e-04,5.80000e-01,4.72000e+00,
1.5567800e-04,5.40000e-01,4.80000e+00,
1.5568000e-04,4.80000e-01,4.72000e+00,
1.5568201e-04,4.40000e-01,4.64000e+00,
1.5568400e-04,4.20000e-01,4.72000e+00,
1.5568599e-04,3.40000e-01,4.72000e+00,
1.5568800e-04,2.80000e-01,4.72000e+00,
1.5569000e-04,2.60000e-01,4.80000e+00,
1.5569200e-04,2.00000e-01,4.72000e+00,
1.5569400e-04,1.60000e-01,4.72000e+00,
1.5569601e-04,1.00000e-01,4.64000e+00,
1.5569800e-04,2.00000e-02,4.80000e+00,
1.5570001e-04,-2.00000e-02,4.80000e+00,
1.5570200e-04,-1.00000e-01,4.72000e+00,
1.5570399e-04,-1.20000e-01,4.72000e+00,
1.5570600e-04,-1.80000e-01,4.72000e+00,
1.5570800e-04,-2.40000e-01,4.88000e+00,
1.5571000e-04,-3.00000e-01,4.80000e+00,
1.5571200e-04,-3.40000e-01,4.72000e+00,
1.5571401e-04,-3.80000e-01,4.64000e+00,
1.5571600e-04,-4.20000e-01,4.64000e+00,
1.5571799e-04,-4.80000e-01,4.80000e+00,
1.5572000e-04,-5.20000e-01,4.72000e+00,
1.5572199e-04,-5.40000e-01,4.72000e+00,
1.5572400e-04,-5.80000e-01,4.64000e+00,
1.5572600e-04,-5.80000e-01,4.64000e+00,
1.5572800e-04,-6.00000e-01,4.72000e+00,
1.5573000e-04,-6.60000e-01,4.80000e+00,
1.5573201e-04,-6.40000e-01,4.72000e+00,
1.5573400e-04,-6.60000e-01,4.72000e+00,
1.5573599e-04,-6.40000e-01,4.72000e+00,
1.5573800e-04,-6.60000e-01,4.80000e+00,
1.5574000e-04,-6.60000e-01,4.72000e+00,
1.5574200e-04,-6.60000e-01,4.72000e+00,
1.5574400e-04,-6.60000e-01,4.64000e+00,
1.5574601e-04,-6.20000e-01,4.64000e+00,
1.5574800e-04,-6.00000e-01,4.72000e+00,
1.5575001e-04,-5.80000e-01,4.72000e+00,
1.5575200e-04,-5.60000e-01,4.64000e+00,
1.5575399e-04,-5.20000e-01,4.72000e+00,
1.5575600e-04,-4.80000e-01,4.64000e+00,
1.5575800e-04,-4.20000e-01,4.72000e+00,
1.5576000e-04,-4.00000e-01,4.72000e+00,
1.5576200e-04,-3.60000e-01,4.64000e+00,
1.5576401e-04,-3.20000e-01,4.72000e+00,
1.5576600e-04,-2.60000e-01,4.64000e+00,
1.5576799e-04,-1.80000e-01,4.80000e+00,
1.5577000e-04,-1.20000e-01,4.72000e+00,
1.5577200e-04,-1.00000e-01,4.64000e+00,
1.5577400e-04,-4.00000e-02,4.64000e+00,
1.5577600e-04,2.00000e-02,4.64000e+00,
1.5577801e-04,8.00000e-02,4.80000e+00,
