X,CH1,CH2,
Second,Volt,Volt,
5.1514002e-05,4.00000e-01,8.00000e-02,
5.1515999e-05,4.40000e-01,8.00000e-02,
5.1518000e-05,4.80000e-01,0.00000e+00,
5.1520001e-05,5.20000e-01,8.00000e-02,
5.1522002e-05,5.60000e-01,8.00000e-02,
5.1523999e-05,6.00000e-01,8.00000e-02,
5.1526000e-05,6.00000e-01,0.00000e+00,
5.1528001e-05,6.40000e-01,0.00000e+00,
5.1530002e-05,6.60000e-01,8.00000e-02,
5.1531999e-05,6.80000e-01,8.00000e-02,
5.1534000e-05,6.80000e-01,8.00000e-02,
5.1536001e-05,6.80000e-01,8.00000e-02,
5.1538002e-05,7.00000e-01,0.00000e+00,
5.1539999e-05,7.20000e-01,8.00000e-02,
5.1542000e-05,7.00000e-01,8.00000e-02,
5.1544001e-05,6.80000e-01,8.00000e-02,
5.1546001e-05,6.40000e-01,8.00000e-02,
5.1547999e-05,6.60000e-01,0.00000e+00,
5.1550000e-05,6.40000e-01,8.00000e-02,
5.1552001e-05,6.20000e-01,8.00000e-02,
5.1554001e-05,5.40000e-01,8.00000e-02,
5.1555999e-05,4.80000e-01,8.00000e-02,
5.1558000e-05,4.80000e-01,0.00000e+00,
5.1560000e-05,4.40000e-01,8.00000e-02,
5.1562001e-05,3.80000e-01,8.00000e-02,
5.1563999e-05,3.40000e-01,8.00000e-02,
5.1565999e-05,2.80000e-01,8.00000e-02,
5.1568000e-05,2.60000e-01,0.00000e+00,
5.1570001e-05,2.00000e-01,1.60000e-01,
5.1571998e-05,1.40000e-01,8.00000e-02,
5.1573999e-05,8.00000e-02,8.00000e-02,
5.1576000e-05,0.00000e+00,0.00000e+00,
5.1578001e-05,-2.00000e-02,8.00000e-02,
5.1579998e-05,-8.00000e-02,1.60000e-01,
5.1581999e-05,-1.20000e-01,8.00000e-02,
5.1584000e-05,-2.00000e-01,8.00000e-02,
5.1586001e-05,-2.60000e-01,8.00000e-02,
5.1587998e-05,-3.00000e-01,0.00000e+00,
5.1589999e-05,-3.40000e-01,8.00000e-02,
5.1592000e-05,-3.80000e-01,8.00000e-02,
5.1594001e-05,-4.40000e-01,8.00000e-02,
5.1595998e-05,-4.80000e-01,8.00000e-02,
5.1597999e-05,-5.20000e-01,0.00000e+00,
5.1600000e-05,-5.20000e-01,8.00000e-02,
5.1602001e-05,-5.20000e-01,8.00000e-02,
5.1604002e-05,-6.00000e-01,8.00000e-02,
5.1605999e-05,-6.00000e-01,0.00000e+00,
5.1608000e-05,-6.20000e-01,0.00000e+00,
5.1610001e-05,-6.40000e-01,8.00000e-02,
5.1612002e-05,-6.40000e-01,8.00000e-02,
5.1613999e-05,-6.60000e-01,8.00000e-02,
5.1616000e-05,-6.60000e-01,0.00000e+00,
5.1618001e-05,-6.60000e-01,-8.00000e-02,
5.1620002e-05,-6.40000e-01,8.00000e-02,
5.1621999e-05,-6.40000e-01,8.00000e-02,
5.1624000e-05,-6.20000e-01,8.00000e-02,
5.1626001e-05,-5.80000e-01,8.00000e-02,
5.1628002e-05,-5.60000e-01,0.00000e+00,
5.1629999e-05,-5.20000e-01,0.00000e+00,
5.1632000e-05,-5.00000e-01,0.00000e+00,
5.1634001e-05,-4.80000e-01,8.00000e-02,
5.1636001e-05,-4.40000e-01,0.00000e+00,
