X,CH1,
Second,Volt,
2.3358800e-03,1.12800e+01,
2.3358900e-03,1.10200e+01,
2.3359000e-03,1.08400e+01,
2.3359100e-03,1.07800e+01,
2.3359200e-03,1.09200e+01,
2.3359300e-03,1.12200e+01,
2.3359400e-03,1.15600e+01,
2.3359500e-03,1.17000e+01,
2.3359600e-03,1.17800e+01,
2.3359701e-03,1.20000e+01,
2.3359801e-03,1.21800e+01,
2.3359901e-03,1.22600e+01,
2.3360001e-03,1.21800e+01,
2.3360101e-03,1.19800e+01,
2.3360201e-03,1.17000e+01,
2.3360299e-03,1.14000e+01,
2.3360399e-03,1.11000e+01,
2.3360499e-03,1.08800e+01,
2.3360599e-03,1.07800e+01,
2.3360699e-03,1.08400e+01,
2.3360800e-03,1.10800e+01,
2.3360900e-03,1.14200e+01,
2.3361000e-03,1.17000e+01,
2.3361100e-03,1.17400e+01,
2.3361200e-03,1.19400e+01,
2.3361300e-03,1.21400e+01,
2.3361400e-03,1.22600e+01,
2.3361500e-03,1.22400e+01,
2.3361600e-03,1.20800e+01,
2.3361701e-03,1.18000e+01,
2.3361801e-03,1.15000e+01,
2.3361901e-03,1.12000e+01,
2.3362001e-03,1.09200e+01,
2.3362101e-03,1.08000e+01,
2.3362199e-03,1.08000e+01,
2.3362299e-03,1.10000e+01,
2.3362399e-03,1.13200e+01,
2.3362499e-03,1.16400e+01,
2.3362599e-03,1.17400e+01,
2.3362699e-03,1.17800e+01,
2.3362800e-03,1.19800e+01,
2.3362900e-03,1.22000e+01,
2.3363000e-03,1.23200e+01,
2.3363100e-03,1.22600e+01,
2.3363200e-03,1.20000e+01,
2.3363300e-03,1.16400e+01,
2.3363400e-03,1.13200e+01,
2.3363500e-03,1.10800e+01,
2.3363600e-03,1.08400e+01,
2.3363701e-03,1.07000e+01,
2.3363801e-03,1.07800e+01,
2.3363901e-03,1.11200e+01,
2.3364001e-03,1.15400e+01,
2.3364101e-03,1.17400e+01,
2.3364199e-03,1.17200e+01,
2.3364299e-03,1.18600e+01,
2.3364399e-03,1.21200e+01,
2.3364499e-03,1.23000e+01,
