Order,Reference, Quantity, Value,, Footprint, Mouser, Price,,,,
N,C1 C6 ,2,0.1uF,,Capacitors_SMD:C_0603_HandSoldering,,,0,,,
N,C10 C14 C2 C3 C7 ,5,1nF,,Capacitors_SMD:C_0603_HandSoldering,,,0,,,
N,C12 C13 ,2,100nF,,Capacitors_SMD:C_0603_HandSoldering,,,0,,,
N,C4 ,1,2.2nF/100V,,Capacitors_SMD:C_0805_HandSoldering,,,0,,,
N,C11 C5 ,2,22p,,Capacitors_SMD:C_0603_HandSoldering,,,0,,,
N,C8 ,1,10nF,,Capacitors_SMD:C_0603_HandSoldering,,,0,,,
N,C9 ,1,220pF,,Capacitors_SMD:C_0603_HandSoldering,,,0,,,
Y,D1 D2 ,2,D_Schottky_x2_Serial_AKC,,TO_SOT_Packages_SMD:SOT-23,https://www.mouser.de/ProductDetail/821-BAS70-04,0.28,0.56,,,
Y,D3 ,1,RX_ON,,LEDs:LED_1206_HandSoldering,https://www.mouser.de/ProductDetail/Kingbright/APT3216QBC-D?qs=sGAEpiMZZMuCm2JlHBGeftDB%2fDG2ugyY8qMsY%252bZ%2fkC4%3d,0.18,0.18,,,
Y,D4 ,1,Feedback,,LEDs:LED_1206_HandSoldering,https://www.mouser.de/ProductDetail/Kingbright/APT3216QBC-D?qs=sGAEpiMZZMuCm2JlHBGeftDB%2fDG2ugyY8qMsY%252bZ%2fkC4%3d,0.18,0.18,,,
Y,F1 ,1,Fuse,,Fuse_Holders_and_Fuses:Fuse_SMD1206_HandSoldering,https://www.mouser.de/ProductDetail/Bel-Fuse/C1Q-500?qs=sGAEpiMZZMtxU2g%2f1juGqUe1nfAlZffAyIMgrBGBGxsQDVi%2fw0PCPA%3d%3d,0.24,0.24,,,
N,J1 ,1,CONN_01X02,,Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm,,,0,,,
N,J3 ,1,CONN_01X06,,Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm,,,0,,,
N,J5 ,1,CONN_02X04,,Pin_Headers:Pin_Header_Straight_2x04_Pitch2.54mm,,,0,,,
N,J2 J7 ,2,CONN_02X03,,Pin_Headers:Pin_Header_Straight_2x03_Pitch2.54mm,,,0,,,
Y,Q1 Q2 Q3 Q4 ,4,BSS138,,TO_SOT_Packages_SMD:SOT-23,http://www.mouser.de/ProductDetail/Fairchild-Semiconductor/BSS138L/?qs=sGAEpiMZZMshyDBzk1%2fWi4BzQbP6tbUhQAkUBAzDZmsxS%2fazuvIVhQ%3d%3d,0.17,0.68,,,
Y,R1 ,1,1.2k,,Resistors_SMD:R_0603_HandSoldering,https://www.mouser.de/ProductDetail/Yageo/RC0603FR-071R2L?qs=sGAEpiMZZMu61qfTUdNhG6gKAQVNBKOoZIi5VcgtApE%3d,0.07,0.07,,,
N,R16 ,1,1M,,Resistors_SMD:R_0603_HandSoldering,,,0,,,
N,R17 R25 R46 ,3,4.7k,,Resistors_SMD:R_0603_HandSoldering,,,0,,,
N,R19 R24 R45 ,3,330,,Resistors_SMD:R_0603_HandSoldering,,,0,,,
N,R2 ,1,470,,Resistors_SMD:R_0603_HandSoldering,,,0,,,
Y,R10 R11 R13 R14 R15 R18 R20 R21 R22 R23 R26 R27 R28 R29 R30 R31 R32 R33 R34 R35 R36 R4 R47 R8 R9 ,25,0,,Resistors_SMD:R_0603_HandSoldering,https://www.mouser.de/ProductDetail/603-RC0603JR-070RL,0.023,0.575,,,
Y,R3 ,1,6.8,,Resistors_SMD:R_0603_HandSoldering,https://www.mouser.de/ProductDetail/Yageo/RC0603JR-076R8L?qs=sGAEpiMZZMu61qfTUdNhG6gKAQVNBKOoHv%252brKL%2fOTVk%3d,0.07,0.07,,,
N,R37 R38 R39 R40 R41 R42 R43 R44 ,8,10k,,Resistors_SMD:R_0603_HandSoldering,,,0,,,
N,R12 R48 R5 R6 R7 ,5,1k,,Resistors_SMD:R_0603_HandSoldering,,,0,,,
Y,SW1 SW2 ,2,RESET,,TL3305:TL3305,http://www.mouser.de/ProductDetail/E-Switch/TL3305AF160QG/?qs=sGAEpiMZZMsgGjVA3toVBKeJCRa1nG8XfnikbYevDuU%3d,0.178,0.356,,,
Y,SW3 ,1,Trigger,,TL3305:TL3305,http://www.mouser.de/ProductDetail/E-Switch/TL3305AF160QG/?qs=sGAEpiMZZMsgGjVA3toVBKeJCRa1nG8XfnikbYevDuU%3d,0.178,0.178,,,
Y,U1 ,1,SIG60,,Housings_DFN_QFN:QFN-28-1EP_6x6mm_Pitch0.65mm,,6.9,6.9,,,
Y,U3 ,1,ATMEGA328P-AU,,Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm,http://www.mouser.de/ProductDetail/Microchip-Technology-Atmel/ATMEGA328P-AU/?qs=sGAEpiMZZMu9ReDVvI6axzXTfdp%252beU5q9uBRrP4gYK0%3d,1.78,1.78,,,
Y,X1 ,1,4 MHz,,Crystals:Crystal_AT310_d3.0mm_l10.0mm_Horizontal,https://www.mouser.de/ProductDetail/ECS/ECS-40-18-10X?qs=sGAEpiMZZMsBj6bBr9Q9aZy59saLb3yqxvdbck0DN7Q%3d,0.56,0.56,,,
Y,Y1 ,1,8 MHz,,Crystals:Crystal_HC49-4H_Vertical,https://www.mouser.de/productdetail/iqd/lfxtal011301reel?qs=sGAEpiMZZMsBj6bBr9Q9aR%2FuGiDjvlISgJjjmlrzIuHdv6WSSSTe0g%3D%3D,0.18,0.18,,,
Y,Y2 Y3 ,2,ceramic filter,,Crystals:Resonator-3pin_w6.0mm_h3.0mm,https://www.mouser.de/ProductDetail/Murata-Electronics/CSTLS6M50G53-B0?qs=%2fha2pyFaduiAB1VbLhMF21TL4peOYkYl6B9EV%252b%252bLTuc%3d,0.2,0.4,6.5,https://www.mouser.de/ProductDetail/Murata-Electronics/CSTLS6M50G53-B0?qs=%2fha2pyFaduiAB1VbLhMF21TL4peOYkYl6B9EV%252b%252bLTuc%3d,0.18
Y,Y4 ,1,ceramic filter,,Libraries:Resonator_SMD_muRata_CTSTCR-3pin_4.5x2mm,,,0,4.5,https://www.mouser.de/ProductDetail/Murata-Electronics/CSTLS4M50G53-B0?qs=qEIx2DuoqD%252bNmidwu4047g%3d%3d,0.18
,,,,,,,,,5.5,https://www.mouser.de/ProductDetail/Murata-Electronics/CSTCR5M50G53-R0?qs=MY6wChARw2yDoZzyzT5k3A%3d%3d,0.34
,,,,,,,,12.909,6,https://www.mouser.de/ProductDetail/Murata-Electronics/CSTLS6M00G56-A0?qs=sGAEpiMZZMsBj6bBr9Q9aXA3ATl0diAhd9mUU6IZDtc%3d,0.17
,,,,,,,,,1.75,n.a.,
,,,,,,,,,10.5,n.a.,
,,,,,,,,,13,n.a.,
